country_name,year,forest_area_percentage,lat,long
Aruba,2016,2.345949254,12.5013629,-69.9618475
Afghanistan,2016,2.07906281,33.7680065,66.2385139
Angola,2016,46.55888016,-11.8775768,17.5691241
Albania,2016,28.27473495,1.2315264,-75.89204331
Andorra,2016,34.22703546,42.5407167,1.5732033
United Arab Emirates,2016,4.582075733,24.0002488,53.9994829
Argentina,2016,9.851657984,-34.9964963,-64.9672817
Armenia,2016,11.73183653,4.491976149999999,-75.74135085
American Samoa,2016,87.97563145,-14.297124,-170.7131481
Antigua and Barbuda,2016,22.39432482,17.2234721,-61.9554608
Australia,2016,16.34663828,-24.7761086,134.755
Austria,2016,47.16063728,47.59397,14.12456
Azerbaijan,2016,14.17630152,40.3936294,47.7872508
Burundi,2016,10.98617394,-3.426449,29.9324519
Belgium,2016,22.70662254,50.6402809,4.6667145
Benin,2016,37.99359315,9.5293472,2.2584408
Burkina Faso,2016,19.44061061,12.0753083,-1.6880314
Bangladesh,2016,11.01753184,-0.2864982,36.0514231
Bulgaria,2016,35.56623444,46.7889169,23.6184909
Bahrain,2016,0.788312686,26.0280409,50.55316820508136
"Bahamas, The",2016,51.72822825,38.91153185,-77.04983813
Bosnia and Herzegovina,2016,42.90771434,44.3053476,17.5961467
Belarus,2016,42.86179087,53.4250605,27.6971358
Belize,2016,60.00343095,16.8259793,-88.7600927
Bermuda,2016,18.61864546,32.3040273,-64.7563086
Bolivia,2016,50.5594568,-17.0568696,-64.9912286
Brazil,2016,59.25133153,-10.3333333,-53.2
Barbados,2016,14.73107004,13.1500331,-59.5250305
Brunei Darussalam,2016,72.49810933,4.4137155,114.5653908
Bhutan,2016,72.87848803,33.0204804,75.6458366
Botswana,2016,19.04991353,-23.1681782,24.5928742
Central African Republic,2016,35.75524833,7.0323598,19.9981227
Canada,2016,38.36894641,61.0666922,-107.991707
Switzerland,2016,32.00314191,46.7985624,8.2319736
Channel Islands,2016,4.062249978,49.21230655,-2.12559996
Chile,2016,24.38875657,-31.7613365,-71.3187697
China,2016,22.47543059,30.047992,-94.3357433
Cote d'Ivoire,2016,32.88404039,7.9897371,-5.5679458
Cameroon,2016,39.55293008,4.6125522,13.1535811
Colombia,2016,52.99037253,4.099917,-72.9088133
Comoros,2016,19.77380755,-12.2045176,44.2832964
Cabo Verde,2016,22.66850433,16.0000552,-24.0083947
Costa Rica,2016,54.86372372,9.536456900000001,-84.17566257
Cuba,2016,31.4485953,23.0131338,-80.8328748
Curacao,2016,0,12.1176488,-68.9309263
Cayman Islands,2016,53.20660641,19.703182249999998,-79.91746272
Cyprus,2016,18.78877746,34.9174159,32.889902651331866
Czech Republic,2016,34.75143225,49.7439047,15.3381061
Germany,2016,32.8688766,40.4203479,-79.1166983
Djibouti,2016,0.242900465,11.8145966,42.8453061
Dominica,2016,57.72442517,15.4113138,-61.3653618
Denmark,2016,14.77909607,55.670249,10.3333283
Dominican Republic,2016,41.96144735,19.0974031,-70.3028026
Algeria,2016,0.828919917,28.0000272,2.9999825
Ecuador,2016,50.47881204,-1.3397668,-79.3666965
Eritrea,2016,14.987946,15.9500319,37.9999668
Spain,2016,37.13694927,39.3260685,-4.8379791
Estonia,2016,51.61557086,58.7523778,25.3319078
Ethiopia,2016,12.60774948,14.4823769,121.0340788
Finland,2016,73.50449042,63.2467777,25.9209164
Fiji,2016,56.24604611,-18.1239696,179.0122737
France,2016,31.40302394,46.603354,1.8883335
Faroe Islands,2016,0.057617625,62.0448724,-7.0322972
Gabon,2016,90.52697688,-0.8999695,11.6899699
United Kingdom,2016,13.1367719,54.7023545,-3.2765753
Georgia,2016,40.83664687,32.3293809,-83.1137366
Ghana,2016,41.38305135,8.0300284,-1.0800271
Gibraltar,2016,0,36.1285933,-5.3474761
Guinea,2016,25.89284997,10.7226226,-10.7083587
"Gambia, The",2016,48.64232807,51.5040457,-0.1028139
Guinea-Bissau,2016,70.15162029,11.815215,-15.2351044
Equatorial Guinea,2016,55.78816817,1.613172,10.5170357
Greece,2016,31.85722786,43.2097838,-77.6930602
Grenada,2016,50.24374804,12.1360374,-61.6904045
Greenland,2016,0.00053891,71.81717990000001,-40.42628784
Guatemala,2016,32.8727247,15.5855545,-90.345759
Guam,2016,46.5488462,13.4499943,144.7651677
Guyana,2016,84.35743505,4.8417097,-58.6416891
"Hong Kong SAR, China",2016,0,22.350627,114.1849161
Honduras,2016,40.18504403,15.2572432,-86.0755145
Croatia,2016,34.53980765,45.3658443,15.6575209
Haiti,2016,3.509535286,19.1399952,-72.3570972
Hungary,2016,23.02959838,41.9767629,-72.7789842
Indonesia,2016,50.13137837,-2.4833826,117.8902853
Isle of Man,2016,6.103088498,54.1936805,-4.5591148
India,2016,23.96264925,22.3511148,78.6677428
Ireland,2016,11.08765699,52.865196,-7.9794599
Iraq,2016,1.910689216,33.0955793,44.1749775
Iceland,2016,0.506478418,64.9841821,-18.1059013
Israel,2016,7.768426059,39.3181528,-79.8109014
Italy,2016,31.96307598,42.6384261,12.674297
Jamaica,2016,31.08397547,18.1850507,-77.3947693
Jordan,2016,1.104188982,32.3638773,35.5613922
Japan,2016,68.82826537,36.5748441,139.2394179
Kazakhstan,2016,1.232353114,48.1012954,66.7780818
Kenya,2016,7.86060158,1.4419683,38.4313975
Kyrgyz Republic,2016,3.297281089,41.5089324,74.724091
Cambodia,2016,53.14017661,3.9767059,-73.1493675
Kiribati,2016,15.08158457,0.3448612,173.6641773
St. Kitts and Nevis,2016,42.53597306,17.250512,-62.6725973
Kuwait,2016,0.352635599,29.3796532,47.9734174
Lao PDR,2016,82.55447215,21.0810329,102.5034055
Lebanon,2016,13.50210447,40.375713,-76.4626118
Liberia,2016,43.30926933,5.7499721,-9.3658524
Libya,2016,0.123997948,26.8234472,18.1236723
St. Lucia,2016,33.36083037,13.8250489,-60.975036
Liechtenstein,2016,43.35661161,47.1416307,9.5531527
Sri Lanka,2016,33.08266021,7.5554942,80.7137847
Lesotho,2016,1.655854063,-29.6039267,28.3350193
Lithuania,2016,35.02216932,55.3500003,23.7499997
Luxembourg,2016,35.87306934,49.6112768,6.129799
Latvia,2016,54.27213715,56.8406494,24.7537645
"Macao SAR, China",2016,0,22.3037115,113.9404611
St. Martin (French part),2016,0,18.0814066,-63.0467131
Morocco,2016,12.66987518,28.3347722,-10.37133791
Monaco,2016,0,43.7323492,7.4276832
Moldova,2016,12.64359647,47.2879608,28.5670941
Madagascar,2016,21.52750317,-18.9249604,46.4416422
Maldives,2016,3.351452627,3.7203503,73.2244152
Mexico,2016,34.10932033,19.4326296,-99.1331785
Marshall Islands,2016,70.60190547,8.230816999999998,167.7953223704529
North Macedonia,2016,39.7868395,41.6171214,21.7168387
Mali,2016,3.820057248,16.3700359,-2.2900239
Malta,2016,1.099713176,35.8885993,14.4476911
Myanmar,2016,43.86822684,22.0452303,96.4514694
Montenegro,2016,61.82115956,-12.6998188,-38.3260762
Mongolia,2016,8.06097768,43.9382593,-79.2235563
Northern Mariana Islands,2016,64.12787349,15.1753648,145.7379338
Mozambique,2016,48.24471081,-19.302233,34.9144977
Mauritania,2016,0.215582697,20.2540382,-9.2399263
Mauritius,2016,19.13802312,-20.2759451,57.5703566
Malawi,2016,33.36875069,-13.2687204,33.9301963
Malaysia,2016,67.96500294,4.5693754,102.2656823
Namibia,2016,8.359144088,-23.2335499,17.3231107
New Caledonia,2016,46.14656411,-20.63784275,161.21176261225781
Niger,2016,0.89661254,17.7356214,9.3238432
Nigeria,2016,7.267673753,9.6000359,7.9999721
Nicaragua,2016,26.01731714,12.6090157,-85.2936911
Netherlands,2016,11.23914526,52.2434979,5.6343227
Norway,2016,33.35817537,64.5731537,11.52803643954819
Nepal,2016,25.50234316,-6.4955532,110.8440229
Nauru,2016,0,-0.5252306,166.9324426
New Zealand,2016,38.76562025,-41.5000831,172.8344077
Oman,2016,0.006497155,42.2679001,26.9246399
Pakistan,2016,1.863800181,30.3308401,71.247499
Panama,2016,62.22227327,8.559559,-81.1308434
Peru,2016,57.97384013,-6.8699697,-75.0458515
Philippines,2016,27.92031443,12.7503486,122.7312101
Palau,2016,88.08293251,42.5717989,2.9600905
Papua New Guinea,2016,74.50110416,-5.6816069,144.2489081
Poland,2016,31.05128307,52.215933,19.134422
Puerto Rico,2016,56.59227076,18.2247706,-66.4858295
Portugal,2016,34.79952533,39.6621648,-8.1353519
Paraguay,2016,37.95396083,-23.3165935,-58.1693445
French Polynesia,2016,42.57981039,-17.0243749,-144.6434898
Qatar,2016,0,39.1074426,47.5061085
Romania,2016,30.28452746,45.9852129,24.6859225
Russian Federation,2016,50.02898889,64.6863136,97.7453061
Rwanda,2016,19.83970253,-1.9646631,30.0644358
Saudi Arabia,2016,0.456954157,25.6242618,42.3528328
Sudan,2016,#DIV/0!,10.9,6.5
Senegal,2016,42.99456848,14.4750607,-14.4529612
Singapore,2016,23.18557018,1.357107,103.8194992
Solomon Islands,2016,78.28668909,-8.7053941,159.1070693851845
Sierra Leone,2016,43.28745866,8.6400349,-11.8400269
El Salvador,2016,12.64557483,13.8000382,-88.9140683
San Marino,2016,0,43.9458623,12.458306
Somalia,2016,10.07486248,8.3676771,49.083416
Serbia,2016,31.28504574,44.024322850000004,21.07657433209902
South Sudan,2016,#DIV/0!,7.8699431,29.6667897
Sao Tome and Principe,2016,56.13622409,0.9713095,7.02255
Suriname,2016,98.79170317,4.1413025,-56.0771187
Slovak Republic,2016,40.57288176,48.7411522,19.4528646
Slovenia,2016,62.30683587,46.1199444,14.8153333
Sweden,2016,69.29751379,44.133435,-70.822678
Eswatini,2016,34.52380568,-26.5624806,31.3991317
Sint Maarten (Dutch part),2016,0,18.03319875,-63.09292514
Seychelles,2016,88.89163205,-4.6574977,55.4540146
Syrian Arab Republic,2016,2.688387003,34.6401861,39.0494106
Turks and Caicos Islands,2016,36.4068644,21.721746,-71.5527809
Chad,2016,3.791459963,15.6134137,19.0156172
Togo,2016,3.109287136,8.7800265,1.0199765
Thailand,2016,32.3323763,13.03876215,101.70017611907599
Tajikistan,2016,2.987544623,38.6281733,70.8156541
Turkmenistan,2016,8.829888386,39.3763807,59.3924609
Timor-Leste,2016,45.62661083,-8.7443169,126.063482
Tonga,2016,12.56803777,-19.9160819,-175.202642
Trinidad and Tobago,2016,46.2736365,10.7466905,-61.0840075
Tunisia,2016,6.802992556,36.8002068,10.1857757
Turkey,2016,15.43810064,38.9597594,34.9249653
Tuvalu,2016,33.52320879,-8.6405212,179.1582918181797
Tanzania,2016,51.85855116,-6.5247123,35.7878438
Uganda,2016,9.736451703,1.5333554,32.2166578
Ukraine,2016,16.79884357,49.4871968,31.2718321
Uruguay,2016,10.72957799,-32.8755548,-56.0201525
United States,2016,34.11418671,39.7837304,-100.445882
Uzbekistan,2016,7.583965995,41.32373,63.9528098
St. Vincent and the Grenadines,2016,69.60663076,12.90447,-61.2765569
"Venezuela, RB",2016,53.02581422,21.7394241,-78.7955599
British Virgin Islands,2016,24.2624216,18.4024395,-64.5661642
Virgin Islands (U.S.),2016,50.24120308,17.7289564,-64.75901598
Vietnam,2016,48.32131041,15.9266657,107.9650855
Vanuatu,2016,36.2913579,-16.5255069,168.1069154
World,2016,31.54609037,-45.0330246,168.6611116
Samoa,2016,60.75264728,-13.7693895,-172.12005
Kosovo,2016,0,42.5869578,20.9021231
South Africa,2016,7.659137223,-28.8166236,24.991639
Zambia,2016,65.55349544,-14.5189121,27.5589884
Zimbabwe,2016,35.73562388,-18.4554963,29.7468414
